t	in	out	motor
5000.0	68.90	68.33	70.50
5002.0	68.84	68.29	70.31
5004.0	68.77	68.25	70.13
5006.0	68.71	68.20	69.97
5008.0	68.65	68.15	69.82
5010.0	68.59	68.10	69.68
5012.0	68.55	68.05	70.16
5014.0	68.54	68.00	70.69
5016.0	68.55	67.95	71.32
5018.0	68.58	67.90	72.04
5020.0	68.62	67.86	72.81
5022.0	68.68	67.82	73.60
5024.0	68.74	67.79	74.36
5026.0	68.81	67.77	75.08
5028.0	68.87	67.75	75.73
5030.0	68.94	67.74	76.31
5032.0	69.00	67.74	76.83
5034.0	69.06	67.74	77.28
5036.0	69.12	67.75	77.68
5038.0	69.17	67.77	78.02
5040.0	69.22	67.78	78.32
5042.0	69.25	67.80	77.83
5044.0	69.24	67.83	77.17
5046.0	69.20	67.85	76.46
5048.0	69.15	67.87	75.75
5050.0	69.08	67.89	75.09
5052.0	69.01	67.90	74.48
5054.0	68.94	67.91	73.92
5056.0	68.87	67.91	73.42
5058.0	68.80	67.91	72.98
5060.0	68.74	67.90	72.58
5062.0	68.68	67.88	72.23
5064.0	68.63	67.86	71.93
5066.0	68.57	67.84	71.65
5068.0	68.52	67.81	71.41
5070.0	68.47	67.78	71.19
5072.0	68.42	67.75	71.17
5074.0	68.39	67.71	71.20
5076.0	68.36	67.68	71.27
5078.0	68.34	67.65	71.35
5080.0	68.32	67.61	71.45
5082.0	68.30	67.58	71.56
5084.0	68.29	67.54	71.66
5086.0	68.27	67.51	71.76
5088.0	68.26	67.48	71.85
5090.0	68.24	67.45	71.93
5092.0	68.23	67.42	72.00
5094.0	68.21	67.40	72.07
5096.0	68.19	67.37	72.12
5098.0	68.18	67.35	72.16
5100.0	68.16	67.32	72.20
5102.0	68.17	67.30	72.95
5104.0	68.21	67.28	73.85
5106.0	68.28	67.26	74.83
5108.0	68.37	67.25	75.80
5110.0	68.47	67.24	76.73
5112.0	68.57	67.24	77.58
5114.0	68.68	67.25	78.34
5116.0	68.78	67.26	79.02
5118.0	68.88	67.29	79.61
5120.0	68.97	67.32	80.12
5122.0	69.06	67.35	80.57
5124.0	69.15	67.39	80.96
5126.0	69.23	67.44	81.30
5128.0	69.31	67.49	81.60
5130.0	69.39	67.54	81.86
5132.0	69.45	67.60	81.64
5134.0	69.49	67.66	81.30
5136.0	69.51	67.72	80.92
5138.0	69.52	67.77	80.54
5140.0	69.52	67.83	80.18
5142.0	69.53	67.88	79.86
5144.0	69.53	67.93	79.58
5146.0	69.54	67.97	79.34
5148.0	69.54	68.01	79.13
5150.0	69.55	68.05	78.95
5152.0	69.56	68.09	78.81
5154.0	69.58	68.12	78.69
5156.0	69.59	68.15	78.59
5158.0	69.61	68.18	78.51
5160.0	69.62	68.20	78.44
5162.0	69.63	68.23	77.85
5164.0	69.60	68.25	77.14
5166.0	69.56	68.27	76.41
5168.0	69.50	68.29	75.71
5170.0	69.43	68.30	75.06
5172.0	69.36	68.31	74.46
5174.0	69.29	68.31	73.92
5176.0	69.22	68.31	73.43
5178.0	69.15	68.30	73.00
5180.0	69.09	68.28	72.61
5182.0	69.03	68.26	72.27
5184.0	68.97	68.24	71.97
5186.0	68.92	68.21	71.70
5188.0	68.86	68.18	71.46
5190.0	68.81	68.15	71.25
5192.0	68.77	68.11	71.55
5194.0	68.76	68.08	72.03
5196.0	68.77	68.04	72.66
5198.0	68.81	68.01	73.37
5200.0	68.86	67.97	74.11
5202.0	68.93	67.95	74.83
5204.0	68.99	67.93	75.51
5206.0	69.06	67.91	76.13
5208.0	69.12	67.91	76.68
5210.0	69.19	67.91	77.17
5212.0	69.24	67.91	77.59
5214.0	69.30	67.92	77.96
5216.0	69.35	67.94	78.28
5218.0	69.40	67.95	78.56
5220.0	69.45	67.98	78.80
5222.0	69.52	68.00	79.72
5224.0	69.61	68.03	80.58
5226.0	69.72	68.06	81.36
5228.0	69.84	68.10	82.05
5230.0	69.96	68.14	82.66
5232.0	70.07	68.19	83.20
5234.0	70.18	68.24	83.67
5236.0	70.29	68.30	84.09
5238.0	70.39	68.37	84.45
5240.0	70.49	68.43	84.77
5242.0	70.58	68.50	85.05
5244.0	70.68	68.58	85.31
5246.0	70.77	68.65	85.53
5248.0	70.86	68.73	85.74
5250.0	70.96	68.81	85.92
5252.0	71.04	68.89	85.86
5254.0	71.11	68.97	85.85
5256.0	71.19	69.05	85.87
5258.0	71.26	69.13	85.91
5260.0	71.33	69.21	85.97
5262.0	71.41	69.30	86.03
5264.0	71.48	69.37	86.10
5266.0	71.56	69.45	86.17
5268.0	71.64	69.53	86.24
5270.0	71.72	69.61	86.32
5272.0	71.79	69.69	86.39
5274.0	71.87	69.77	86.47
5276.0	71.95	69.84	86.55
5278.0	72.03	69.92	86.63
5280.0	72.11	70.00	86.70
5282.0	72.19	70.08	86.92
5284.0	72.28	70.15	87.10
5286.0	72.36	70.23	87.24
5288.0	72.45	70.31	87.36
5290.0	72.53	70.39	87.47
5292.0	72.62	70.47	87.57
5294.0	72.70	70.54	87.67
5296.0	72.78	70.62	87.76
5298.0	72.86	70.70	87.85
5300.0	72.95	70.78	87.94
5302.0	73.03	70.86	88.03
5304.0	73.11	70.94	88.11
5306.0	73.19	71.02	88.20
5308.0	73.27	71.10	88.28
5310.0	73.35	71.18	88.37
5312.0	73.41	71.26	87.76
5314.0	73.44	71.34	87.11
5316.0	73.45	71.42	86.49
5318.0	73.45	71.49	85.92
5320.0	73.44	71.56	85.41
5322.0	73.44	71.62	84.96
5324.0	73.44	71.68	84.58
5326.0	73.44	71.73	84.25
5328.0	73.45	71.78	83.98
5330.0	73.45	71.82	83.75
5332.0	73.46	71.86	83.56
5334.0	73.48	71.90	83.40
5336.0	73.49	71.93	83.27
5338.0	73.51	71.96	83.16
5340.0	73.53	71.99	83.08
5342.0	73.54	72.02	82.90
5344.0	73.55	72.05	82.69
5346.0	73.55	72.07	82.46
5348.0	73.55	72.09	82.24
5350.0	73.55	72.12	82.04
5352.0	73.54	72.14	81.85
5354.0	73.54	72.15	81.68
5356.0	73.54	72.17	81.54
5358.0	73.53	72.18	81.41
5360.0	73.53	72.20	81.31
5362.0	73.53	72.21	81.22
5364.0	73.53	72.22	81.14
5366.0	73.53	72.23	81.07
5368.0	73.53	72.23	81.02
5370.0	73.53	72.24	80.97
5372.0	73.51	72.25	80.38
5374.0	73.47	72.25	79.73
5376.0	73.41	72.25	79.07
5378.0	73.34	72.25	78.45
5380.0	73.26	72.25	77.86
5382.0	73.18	72.23	77.33
5384.0	73.10	72.22	76.85
5386.0	73.03	72.20	76.41
5388.0	72.95	72.17	76.02
5390.0	72.88	72.14	75.67
5392.0	72.81	72.11	75.36
5394.0	72.74	72.07	75.08
5396.0	72.68	72.03	74.83
5398.0	72.61	71.99	74.61
5400.0	72.55	71.94	74.40
5402.0	72.49	71.89	74.24
5404.0	72.43	71.84	74.10
5406.0	72.37	71.79	73.98
5408.0	72.31	71.74	73.88
5410.0	72.25	71.69	73.79
5412.0	72.20	71.64	73.72
5414.0	72.14	71.58	73.65
5416.0	72.09	71.53	73.59
5418.0	72.03	71.48	73.53
5420.0	71.98	71.42	73.48
5422.0	71.93	71.37	73.43
5424.0	71.87	71.32	73.38
5426.0	71.82	71.26	73.33
5428.0	71.77	71.21	73.28
5430.0	71.72	71.16	73.23
5432.0	71.69	71.10	74.20
5434.0	71.72	71.05	75.28
5436.0	71.79	71.00	76.42
5438.0	71.88	70.96	77.58
5440.0	71.98	70.93	78.70
5442.0	72.08	70.90	79.75
5444.0	72.19	70.89	80.69
5446.0	72.29	70.88	81.54
5448.0	72.39	70.89	82.28
5450.0	72.49	70.90	82.93
5452.0	72.58	70.92	83.49
5454.0	72.66	70.95	83.98
5456.0	72.74	70.98	84.41
5458.0	72.82	71.02	84.77
5460.0	72.90	71.07	85.09
5462.0	72.96	71.11	84.89
5464.0	72.99	71.16	84.57
5466.0	73.01	71.21	84.21
5468.0	73.01	71.26	83.85
5470.0	73.01	71.31	83.51
5472.0	73.01	71.35	83.21
5474.0	73.01	71.40	82.93
5476.0	73.01	71.43	82.70
5478.0	73.01	71.47	82.49
5480.0	73.02	71.50	82.32
5482.0	73.02	71.53	82.17
5484.0	73.03	71.56	82.05
5486.0	73.04	71.58	81.95
5488.0	73.05	71.60	81.86
5490.0	73.06	71.63	81.80
5492.0	73.05	71.65	80.97
5494.0	73.01	71.66	80.04
5496.0	72.93	71.68	79.11
5498.0	72.84	71.69	78.23
5500.0	72.74	71.69	77.42
5502.0	72.64	71.69	76.69
5504.0	72.54	71.68	76.03
5506.0	72.45	71.66	75.45
5508.0	72.36	71.63	74.93
5510.0	72.27	71.60	74.48
5512.0	72.19	71.56	74.08
5514.0	72.11	71.52	73.73
5516.0	72.03	71.48	73.42
5518.0	71.95	71.43	73.16
5520.0	71.88	71.38	72.93
5522.0	71.83	71.32	73.49
